Date,Open,High,Low,Close,Adj Close,Volume
2010-06-01,0.03611,0.03611,0.03611,0.03611,0.03611,173048.0
2010-06-02,0.03611,0.03611,0.03353,0.03353,0.03353,172523.0
2010-06-03,0.03972,0.03972,0.03405,0.03405,0.03405,0.0
2010-06-04,0.03611,0.03611,0.03611,0.03611,0.03611,8694.0
2010-06-07,0.03869,0.03869,0.03611,0.03611,0.03611,0.0
2010-06-08,0.03611,0.03611,0.03405,0.03405,0.03405,156075.0
2010-06-09,0.03405,0.03405,0.03353,0.03405,0.03405,146712.0
2010-06-10,0.03869,0.03869,0.03456,0.03456,0.03456,0.0
2010-06-11,0.03611,0.03611,0.03353,0.03353,0.03353,290769.0
2010-06-14,,,,,,
2010-06-15,0.03353,0.03353,0.03353,0.03353,0.03353,428400.0
2010-06-16,0.03611,0.03611,0.03353,0.03353,0.03353,0.0
2010-06-17,0.0356,0.03611,0.0356,0.03611,0.03611,794769.0
2010-06-18,0.03611,0.03611,0.03611,0.03611,0.03611,2908.0
2010-06-21,0.03611,0.03611,0.03611,0.03611,0.03611,775384.0
2010-06-22,0.03611,0.03611,0.03611,0.03611,0.03611,193846.0
2010-06-23,0.03714,0.03714,0.03714,0.03714,0.03714,193846.0
2010-06-24,0.03714,0.03869,0.03714,0.03869,0.03869,37005.0
2010-06-25,0.04075,0.04075,0.04075,0.04075,0.04075,11371.0
2010-06-28,,,,,,
2010-06-29,0.03766,0.03766,0.03714,0.03714,0.03714,19644.0
2010-06-30,0.03714,0.03714,0.03611,0.03611,0.03611,310154.0
2010-07-01,,,,,,
2010-07-02,0.2998,0.2998,0.2998,0.2998,0.2998,1001.0
2010-07-06,,,,,,
2010-07-07,,,,,,
2010-07-08,0.27482,0.27482,0.24983,0.24983,0.24983,2402.0
2010-07-09,,,,,,
2010-07-12,0.24983,0.24983,0.24983,0.24983,0.24983,24216.0
2010-07-13,0.24983,0.24983,0.22485,0.22485,0.22485,2562.0
2010-07-14,0.24983,0.24983,0.24983,0.24983,0.24983,8606.0
2010-07-15,0.24983,0.24983,0.24983,0.24983,0.24983,3602.0
2010-07-16,,,,,,
2010-07-19,0.03714,0.03714,0.03714,0.03714,0.03714,38769.0
2010-07-20,0.24983,0.24983,0.24983,0.24983,0.24983,4003.0
2010-07-21,0.04179,0.04282,0.04179,0.04282,0.04282,53502.0
2010-07-22,0.04127,0.04127,0.04127,0.04127,0.04127,77538.0
2010-07-23,0.04127,0.04127,0.04127,0.04127,0.04127,24231.0
2010-07-26,0.03869,0.03869,0.03869,0.03869,0.03869,77538.0
2010-07-27,0.2998,0.2998,0.27482,0.27482,0.27482,57018.0
2010-07-28,0.27482,0.27482,0.27482,0.27482,0.27482,8306.0
2010-07-29,0.03869,0.03869,0.03869,0.03869,0.03869,78560.0
2010-07-30,0.27482,0.27482,0.27482,0.27482,0.27482,11808.0
2010-08-02,,,,,,
2010-08-03,0.27482,0.27482,0.27482,0.27482,0.27482,13409.0
2010-08-04,0.27482,0.2998,0.27482,0.2998,0.2998,76451.0
2010-08-05,0.2998,0.2998,0.2998,0.2998,0.2998,600.0
2010-08-06,0.2998,0.32478,0.27482,0.32478,0.32478,26818.0
2010-08-09,0.2998,0.39973,0.2998,0.37475,0.37475,104529.0
2010-08-10,0.04127,0.04127,0.04127,0.04127,0.04127,387692.0
2010-08-11,0.03405,0.03611,0.03405,0.03611,0.03611,290312.0
2010-08-12,0.37475,0.42472,0.37475,0.42472,0.42472,77562.0
2010-08-13,0.39973,0.42472,0.39973,0.42472,0.42472,16411.0
2010-08-16,0.03714,0.03714,0.03714,0.03714,0.03714,50400.0
2010-08-17,,,,,,
2010-08-18,0.39973,0.39973,0.39973,0.39973,0.39973,29500.0
2010-08-19,0.03611,0.03611,0.03611,0.03611,0.03611,69785.0
2010-08-20,0.03611,0.03611,0.03611,0.03611,0.03611,141508.0
2010-08-23,0.42472,0.42472,0.39973,0.39973,0.39973,7005.0
2010-08-24,0.03611,0.03611,0.03405,0.03405,0.03405,39145.0
2010-08-25,0.03405,0.03405,0.03405,0.03405,0.03405,15748.0
2010-08-26,0.47468,0.49967,0.42472,0.42472,0.42472,81834.0
2010-08-27,0.03456,0.03456,0.03456,0.03456,0.03456,48462.0
2010-08-30,0.04127,0.04282,0.04127,0.04127,0.04127,346023.0
2010-08-31,0.42472,0.4497,0.42472,0.4497,0.4497,10207.0
2010-09-01,0.4497,0.4497,0.42472,0.42472,0.42472,5404.0
2010-09-02,0.04385,0.04385,0.0423,0.0423,0.0423,720138.0
2010-09-03,0.04024,0.04024,0.04024,0.04024,0.04024,171065.0
2010-09-07,0.04694,0.04694,0.04643,0.04643,0.04643,312462.0
2010-09-08,0.04746,0.04746,0.04746,0.04746,0.04746,182047.0
2010-09-09,0.04694,0.05159,0.04694,0.05159,0.05159,310154.0
2010-09-10,0.05159,0.05417,0.05159,0.05417,0.05417,499685.0
2010-09-13,0.05159,0.05159,0.05159,0.05159,0.05159,398941.0
2010-09-14,0.04901,0.04901,0.04901,0.04901,0.04901,86632.0
2010-09-15,0.05056,0.05056,0.05056,0.05056,0.05056,252000.0
2010-09-16,0.05056,0.05056,0.04901,0.04901,0.04901,471046.0
2010-09-17,0.04952,0.05056,0.04901,0.05056,0.05056,340925.0
2010-09-20,0.05056,0.05056,0.04901,0.04901,0.04901,86603.0
2010-09-21,0.4497,0.49967,0.42472,0.47468,0.47468,434589.0
2010-09-22,0.04643,0.04643,0.04643,0.04643,0.04643,96923.0
2010-09-23,0.04643,0.04643,0.04282,0.04282,0.04282,38182.0
2010-09-24,0.04282,0.04282,0.03921,0.03921,0.03921,106040.0
2010-09-27,0.04127,0.04127,0.03921,0.03921,0.03921,45069.0
2010-09-28,0.04179,0.05159,0.04179,0.05159,0.05159,341456.0
2010-09-29,0.05159,0.05159,0.05004,0.05107,0.05107,112619.0
2010-09-30,0.05159,0.05417,0.05056,0.05159,0.05159,719950.0
2010-10-01,0.05056,0.05056,0.05056,0.05056,0.05056,193846.0
2010-10-04,0.04901,0.04901,0.04901,0.04901,0.04901,11315.0
2010-10-05,0.04591,0.04591,0.04333,0.04333,0.04333,158954.0
2010-10-06,0.04643,0.04643,0.04643,0.04643,0.04643,38769.0
2010-10-07,0.04643,0.04643,0.04643,0.04643,0.04643,185641.0
2010-10-08,0.49967,0.49967,0.42472,0.47468,0.47468,60440.0
2010-10-11,,,,,,
2010-10-12,0.49967,0.49967,0.49967,0.49967,0.49967,200.0
2010-10-13,0.04591,0.05417,0.04591,0.05417,0.05417,1298691.0
2010-10-14,0.05417,0.05675,0.05417,0.05417,0.05417,465231.0
2010-10-15,0.05159,0.05159,0.05159,0.05159,0.05159,74631.0
2010-10-18,0.05675,0.0877,0.05675,0.08254,0.08254,21387062.0
2010-10-19,0.09028,0.09028,0.06706,0.07222,0.07222,6218455.0
2010-10-20,0.06706,0.06964,0.0619,0.06964,0.06964,3145735.0
2010-10-21,0.07222,0.07738,0.06706,0.06964,0.06964,1718147.0
2010-10-22,0.06964,0.0748,0.06706,0.0748,0.0748,1087436.0
2010-10-25,0.0748,0.0748,0.06706,0.07222,0.07222,923398.0
2010-10-26,0.12381,0.15218,0.11607,0.11607,0.11607,48548132.0
2010-10-27,0.11865,0.12381,0.10317,0.10575,0.10575,8801222.0
2010-10-28,0.11091,0.14187,0.10833,0.12381,0.12381,10173307.0
2010-10-29,0.11091,0.19087,0.10833,0.17024,0.17024,28406213.0
2010-11-01,0.16766,0.19345,0.15992,0.16766,0.16766,11920337.0
2010-11-02,0.16508,0.16766,0.15476,0.16766,0.16766,5518996.0
2010-11-03,0.16508,0.17798,0.15218,0.17024,0.17024,4344279.0
2010-11-04,0.17024,0.17282,0.1625,0.1625,0.1625,1761598.0
2010-11-05,0.1625,0.17798,0.1625,0.17024,0.17024,3055633.0
2010-11-08,0.17282,0.18056,0.16508,0.16508,0.16508,1435694.0
2010-11-09,0.16508,0.17024,0.15734,0.1625,0.1625,1489031.0
2010-11-10,0.17024,0.17024,0.1496,0.15476,0.15476,1402399.0
2010-11-11,0.15734,0.16766,0.15734,0.16766,0.16766,1192541.0
2010-11-12,0.17024,0.17024,0.15218,0.16508,0.16508,1488178.0
2010-11-15,0.1625,0.17282,0.14187,0.14444,0.14444,5368814.0
2010-11-16,0.14444,0.14444,0.11607,0.12897,0.12897,2723439.0
2010-11-17,0.39973,0.39973,0.34977,0.37475,0.37475,9006.0
2010-11-18,0.37475,0.42472,0.37475,0.42472,0.42472,92662.0
2010-11-19,0.13155,0.13929,0.12381,0.13413,0.13413,2550788.0
2010-11-22,0.13413,0.14187,0.13413,0.13671,0.13671,640078.0
2010-11-23,0.14444,0.14702,0.13413,0.13413,0.13413,454598.0
2010-11-24,0.13413,0.14187,0.12897,0.14187,0.14187,764707.0
2010-11-26,0.13929,0.14444,0.13929,0.14444,0.14444,660785.0
2010-11-29,0.14444,0.14444,0.13929,0.13929,0.13929,244864.0
2010-11-30,0.13929,0.13929,0.13929,0.13929,0.13929,291515.0
2010-12-01,0.14444,0.14444,0.13929,0.13929,0.13929,811256.0
2010-12-02,0.13929,0.14187,0.13929,0.13929,0.13929,267860.0
2010-12-03,0.14444,0.14444,0.13413,0.13413,0.13413,595834.0
2010-12-06,0.13413,0.13413,0.13155,0.13155,0.13155,774020.0
2010-12-07,0.13155,0.13155,0.12639,0.13155,0.13155,484228.0
2010-12-08,0.12897,0.12897,0.12381,0.12897,0.12897,286107.0
2010-12-09,0.12381,0.12897,0.12381,0.12381,0.12381,354275.0
2010-12-10,0.12123,0.12381,0.11865,0.12381,0.12381,604267.0
2010-12-13,0.12381,0.12381,0.12123,0.12123,0.12123,115263.0
2010-12-14,0.12123,0.13413,0.12123,0.12897,0.12897,477203.0
2010-12-15,0.13413,0.13413,0.12639,0.12639,0.12639,174258.0
2010-12-16,0.12897,0.12897,0.12897,0.12897,0.12897,229019.0
2010-12-17,0.12897,0.13671,0.12897,0.13671,0.13671,1101046.0
2010-12-20,0.13929,0.13929,0.13155,0.13155,0.13155,376540.0
2010-12-21,0.12897,0.12897,0.12897,0.12897,0.12897,788372.0
